City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
58,keflavik,64.0049,-22.5624,49.91,76,75,27.63,IS,1693708439
59,tindouf,27.6711,-8.1474,66.65,68,95,20.71,DZ,1693708440
60,kharan,28.5833,65.4167,84.88,47,0,5.06,PK,1693708440
61,baruun-urt,46.6806,113.2792,70.93,54,15,11.39,MN,1693708440
62,fort bragg,35.139,-79.006,69.91,87,0,0.0,US,1693708441
63,alice springs,-23.7,133.8833,81.95,17,0,18.41,AU,1693708441
64,sisimiut,66.9395,-53.6735,36.3,75,100,9.73,GL,1693708442
65,hawaiian paradise park,19.5933,-154.9731,82.72,75,100,11.5,US,1693708442
66,dryden,49.7833,-92.7503,77.29,53,0,9.22,CA,1693708442
67,lambakin,14.75,120.8667,82.49,85,100,14.45,PH,1693708443
68,flying fish cove,-10.4217,105.6791,78.48,65,100,13.8,CX,1693708443
69,san pedro pochutla,15.7333,-96.4667,77.45,85,100,3.11,MX,1693708443
70,tulagi,-9.0996,160.1476,82.51,77,87,16.78,SB,1693708444
71,port elizabeth,-33.918,25.5701,50.29,81,0,4.61,ZA,1693708444
72,artova,40.1158,36.3001,60.4,93,100,3.11,TR,1693708444
73,hermanus,-34.4187,19.2345,46.8,77,100,4.43,ZA,1693708445
74,chibougamau,49.9168,-74.3659,62.22,94,100,5.75,CA,1693708445
75,atafu village,-8.5421,-172.5159,82.69,79,100,14.41,TK,1693708445
76,el jadid,33.2549,-8.506,69.06,67,50,6.13,MA,1693708446
77,tumpat,6.1978,102.171,82.38,78,20,3.44,MY,1693708446
78,iquique,-20.2208,-70.1431,64.44,80,0,6.08,CL,1693708366
79,vilyuysk,63.7553,121.6247,53.76,35,100,8.61,RU,1693708447
80,stranraer,54.9023,-5.0273,58.59,92,100,7.67,GB,1693708447
81,tiksi,71.6872,128.8694,38.41,91,100,15.08,RU,1693708448
82,canto do buriti,-8.11,-42.9444,73.33,35,4,2.55,BR,1693708448
83,bilibino,68.0546,166.4372,35.02,84,95,10.31,RU,1693708448
84,cabo san lucas,22.8909,-109.9124,87.51,78,75,11.5,MX,1693708327
85,khartoum,15.5518,32.5324,86.07,52,86,10.58,SD,1693708449
86,bereznik,62.8551,42.7072,53.91,92,12,4.03,RU,1693708449
87,susuman,62.7833,148.1667,36.3,71,96,5.3,RU,1693708451
88,margaret river,-33.95,115.0667,54.34,58,95,21.52,AU,1693708451
89,altai,46.3722,96.2583,64.94,19,33,3.87,MN,1693708451
90,constitucion,-35.3333,-72.4167,52.05,94,100,5.82,CL,1693708409
91,kyzyl-mazhalyk,51.1333,90.6,61.9,56,9,1.1,RU,1693708453
92,constantia,44.1833,28.65,65.08,60,0,8.23,RO,1693708453
93,college,64.8569,-147.8028,57.07,54,20,12.66,US,1693708454
94,bredasdorp,-34.5322,20.0403,47.7,86,100,3.94,ZA,1693708454
95,belomorsk,64.5232,34.7668,58.1,94,51,2.48,RU,1693708454
96,shindand,33.3029,62.1474,74.07,13,0,7.11,AF,1693708455
97,quvasoy,40.3022,71.9744,65.52,45,4,2.3,UZ,1693708455
98,revda,56.801,59.9303,53.58,91,100,9.22,RU,1693708455
99,fale old settlement,-9.3852,-171.2468,82.78,76,96,15.59,TK,1693708456
100,sitka,57.0531,-135.33,57.09,77,100,8.05,US,1693708456
101,saldanha,-33.0117,17.9442,46.45,82,100,2.98,ZA,1693708206
102,la passe,45.5549,-0.8967,68.23,75,63,8.1,FR,1693708457
103,marechal candido rondon,-24.5561,-54.0567,72.21,78,85,12.86,BR,1693708457
104,blackmans bay,-43.0167,147.3167,59.74,53,0,6.51,AU,1693708457
105,albany,42.6001,-73.9662,70.21,87,100,1.54,US,1693708202
106,el porvenir,13.7617,-87.3458,81.73,78,39,4.88,HN,1693708458
107,bani mazar,28.5036,30.8004,74.39,74,0,11.41,EG,1693708458
108,melilla,35.2937,-2.9383,68.38,100,75,13.8,ES,1693708458
109,belyy yar,53.6039,91.3903,57.09,88,0,4.47,RU,1693708459
110,mont-laurier,46.5501,-75.4993,65.82,66,100,8.43,CA,1693708214
111,jamestown,42.097,-79.2353,71.24,78,0,4.61,US,1693708205
112,kingori,-3.2833,36.9833,59.95,91,65,3.74,TZ,1693708460
113,tashla,51.7716,52.7427,56.16,61,2,7.38,RU,1693708460
114,tralee,52.2704,-9.7026,55.11,95,100,2.93,IE,1693708461
115,juegang,32.3174,121.1855,81.1,75,68,5.59,CN,1693708461
116,salekhard,66.53,66.6019,50.77,83,91,5.93,RU,1693708461
117,naze,28.3667,129.4833,83.32,78,32,11.48,JP,1693708462
118,dhidhdhoo,6.8833,73.1,80.01,82,99,21.0,MV,1693708462
119,ratnagiri,16.9833,73.3,80.58,81,100,2.01,IN,1693708462
120,polyarnyy,69.1989,33.4478,57.92,88,33,8.9,RU,1693708463
121,vadso,70.0744,29.7487,56.28,87,100,8.05,NO,1693708463
122,sao joao da barra,-21.6403,-41.0511,72.19,80,9,19.08,BR,1693708463
123,alofi,-19.0595,-169.9187,80.49,57,100,10.36,NU,1693708464
124,whitehorse,60.7161,-135.0538,43.81,93,100,6.91,CA,1693708464
125,isafjordur,66.0755,-23.124,46.99,76,92,29.35,IS,1693708464
126,lihue,21.9789,-159.3672,87.04,72,75,17.27,US,1693708465
127,port lincoln,-34.7333,135.8667,70.3,44,1,19.66,AU,1693708465
128,qarazhal,48.0078,70.7903,57.72,58,69,15.23,KZ,1693708465
129,saint clairsville,40.0806,-80.9001,73.33,96,92,5.77,US,1693708466
130,tual,-5.6667,132.75,77.0,78,20,20.09,ID,1693708466
131,invercargill,-46.4,168.35,51.03,89,100,4.0,NZ,1693708466
132,nacogdoches,31.6002,-94.6335,87.44,47,0,3.44,US,1693708467
133,la sarre,48.8002,-79.1996,70.25,64,100,9.6,CA,1693708433
134,dwarka,22.2394,68.9678,82.36,72,3,9.46,IN,1693708468
135,mountain home,43.133,-115.6912,76.48,36,20,4.61,US,1693708468
136,manokwari,-0.8667,134.0833,83.23,70,38,5.19,ID,1693708469
137,petropavlovsk-kamchatsky,53.0452,158.6483,73.99,43,0,2.24,RU,1693708469
138,nuuk,64.1835,-51.7216,38.01,75,100,9.22,GL,1693708469
139,puerto baquerizo moreno,-0.9,-89.6,74.68,89,91,11.97,EC,1693708348
140,las terrenas,19.311,-69.5428,79.5,85,14,5.53,DO,1693708470
141,ribeira grande,38.5167,-28.7,69.78,92,13,4.0,PT,1693708470
142,badger,64.8,-147.5333,56.98,51,0,12.66,US,1693708471
143,selfoss,63.9331,-20.9971,46.04,74,9,22.68,IS,1693708471
144,carutapera,-1.195,-46.02,77.4,78,11,8.25,BR,1693708471
145,thompson,55.7435,-97.8558,60.96,77,100,5.75,CA,1693708472
146,at-bashi,41.1702,75.8106,62.28,33,2,0.58,KG,1693708472
147,puerto aysen,-45.4,-72.7,29.3,99,85,3.56,CL,1693708472
148,soroti,1.7146,33.6111,65.84,82,9,3.13,UG,1693708473
149,vangviang,18.9333,102.45,88.79,59,63,3.02,LA,1693708473
150,muynoq,43.7683,59.0214,72.34,39,4,4.45,UZ,1693708473
151,solnechnyy,50.7214,136.6319,55.71,75,87,10.22,RU,1693708474
152,ejura,7.3856,-1.3562,71.35,97,100,7.81,GH,1693708474
153,kodiak,57.79,-152.4072,54.91,71,0,0.0,US,1693708474
154,lerwick,60.1545,-1.1494,55.4,96,100,21.85,GB,1693708475
155,andkhoy,36.9529,65.1238,74.25,18,0,4.9,AF,1693708475
156,coahuayana de hidalgo,18.7,-103.6583,81.37,89,100,0.72,MX,1693708475
157,dali,25.7,100.1833,72.03,62,1,3.0,CN,1693708476
158,utrik,11.2278,169.8474,82.78,73,88,4.83,MH,1693708476
159,siwa oasis,29.2041,25.5195,77.14,48,0,4.52,EG,1693708476
160,tabou,4.423,-7.3528,76.93,85,93,11.9,CI,1693708476
161,karaton,-6.3424,106.1045,87.42,50,13,2.19,ID,1693708477
162,ruayer,43.0537,-5.5502,58.89,82,91,3.02,ES,1693708477
163,mar del plata,-38.0023,-57.5575,48.22,79,100,12.66,AR,1693708442
164,georgetown,5.4112,100.3354,85.93,77,20,9.22,MY,1693708002
165,saint croix,17.7397,-64.7388,86.45,84,20,8.05,VI,1693708478
166,fisterra,42.9049,-9.2629,66.74,81,17,17.52,ES,1693708479
167,turpan,42.9333,89.1667,92.97,20,20,2.77,CN,1693708479
168,ancud,-41.8697,-73.8203,40.14,78,57,5.77,CL,1693708480
169,durango,24.8333,-104.8333,67.57,42,43,8.03,MX,1693708212
170,ilhabela,-23.7781,-45.3581,71.15,94,100,2.71,BR,1693708480
171,concepcion,-36.827,-73.0498,48.0,100,100,4.61,CL,1693708321
172,tazacorte,28.629,-17.9293,74.37,69,0,6.91,ES,1693708481
